ProjectName,Scenario,Watershed,WeppID,WeppChnID,TopazID,Length (m),Channel Area (ha),Contributing Channel Area (ha),Discharge (mm),Sediment Yield (tonne),Channel Erosion (tonne),Width,Order,Slope,Landuse,LanduseDesc,Soil,SoilDesc,ChannelType,Solub. React. P (kg/ha),Particulate P (kg/ha),Total P (kg/ha)
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,1,36,164,1691.543289325507,5.074629867976522,46.16,2282.69410745234,0.0,0.0,1,1,0.15328159374658137,102,Tahoe Old Forest,61857-Volcanic-102,"Zygore gravelly loam, 5 to 30 percent slopes (SPM)","Zygore gravelly loam, 5 to 30 percent slopes (SPM)",1.0247052761058748,0.0,1.0247052761058748
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,2,37,154,289.7056274847714,0.8691168824543143,11.82,2429.3917089678507,0.0,0.0,1,1,0.06619940569305974,102,Tahoe Old Forest,61857-Volcanic-102,"Zygore gravelly loam, 5 to 30 percent slopes (SPM)","Zygore gravelly loam, 5 to 30 percent slopes (SPM)",1.6108305203398139,0.0,1.6108305203398139
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,3,38,144,114.85281374238569,0.34455844122715706,16.39,2395.856619890177,0.0,0.0,1,1,0.12984762558623544,102,Tahoe Old Forest,61857-Volcanic-102,"Zygore gravelly loam, 5 to 30 percent slopes (SPM)","Zygore gravelly loam, 5 to 30 percent slopes (SPM)",5.51430402701232,0.0,5.51430402701232
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,4,39,134,1368.8225099390852,4.106467529817256,65.34,2220.492500765228,0.0,0.0,1,1,0.16824144862251975,102,Tahoe Old Forest,61858-Volcanic-102,"Zygore gravelly loam, 30 to 60 percent slopes (SPM)","Zygore gravelly loam, 30 to 60 percent slopes (SPM)",1.753331774261079,0.0,1.753331774261079
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,5,40,124,2125.218613006978,6.375655839020935,177.08,1957.5234922069121,0.0,0.0,2,2,0.10412908113252184,102,Tahoe Old Forest,61825-Volcanic-102,"Aschoff cobbly loam, 30 to 60 percent slopes (SPM)","Aschoff cobbly loam, 30 to 60 percent slopes (SPM)",2.5409150696076033,0.0,2.5409150696076033
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,6,41,114,1765.2186130069783,5.2956558390209345,50.49,2084.9742523271934,0.0,0.0,1,1,0.16879824180722713,102,Tahoe Old Forest,61857-Volcanic-102,"Zygore gravelly loam, 5 to 30 percent slopes (SPM)","Zygore gravelly loam, 5 to 30 percent slopes (SPM)",0.9819369230311199,0.0,0.9819369230311199
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,7,42,104,1345.2186130069783,4.035655839020935,10.3,2271.535922330097,0.0,0.0,1,1,0.20840354383836768,102,Tahoe Old Forest,61857-Volcanic-102,"Zygore gravelly loam, 5 to 30 percent slopes (SPM)","Zygore gravelly loam, 5 to 30 percent slopes (SPM)",0.2725703191446732,0.0,0.2725703191446732
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,8,43,94,851.5432893255072,2.5546298679765216,73.03,2005.8821032452415,0.0,0.0,1,1,0.11127568034880643,102,Tahoe Old Forest,61824-Volcanic-102,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)","Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",2.7792675913649236,0.0,2.7792675913649236
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,9,44,84,632.1320343559643,1.8963961030678929,28.23,1768.2830322352108,0.0,0.0,1,1,0.1834652603924622,102,Tahoe Old Forest,61824-Volcanic-102,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)","Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",1.3182899901321394,0.0,1.3182899901321394
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,10,45,74,259.7056274847714,0.7791168824543142,107.97,1909.005742335834,0.0,0.0,2,2,0.0781407199594758,102,Tahoe Old Forest,61824-Volcanic-102,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)","Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",12.706694236702688,0.0,12.706694236702688
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,11,46,64,934.2640687119285,2.8027922061357855,27.81,1703.7317511686445,0.0,0.0,1,1,0.250706365654674,102,Tahoe Old Forest,61824-Volcanic-102,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)","Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",0.7492528327297134,0.0,0.7492528327297134
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,12,47,54,187.27922061357856,0.5618376618407357,138.61,1856.8465478681192,0.0,0.0,2,2,0.08639509339846348,102,Tahoe Old Forest,61825-Volcanic-102,"Aschoff cobbly loam, 30 to 60 percent slopes (SPM)","Aschoff cobbly loam, 30 to 60 percent slopes (SPM)",21.714457446710536,0.0,21.714457446710536
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,13,48,44,169.7056274847714,0.5091168824543142,13.52,1517.367603550296,0.0,0.0,1,1,0.13435,102,Tahoe Old Forest,61824-Volcanic-102,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)","Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",1.5713484026367726,0.0,1.5713484026367726
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,14,49,34,282.42640687119285,0.8472792206135786,162.36,1801.9197462429167,0.0,0.0,2,2,0.08963106816525984,102,Tahoe Old Forest,61825-Volcanic-102,"Aschoff cobbly loam, 30 to 60 percent slopes (SPM)","Aschoff cobbly loam, 30 to 60 percent slopes (SPM)",16.28742882423858,0.0,16.28742882423858
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,15,50,24,639.4112549695428,1.9182337649086287,360.09,1855.023771834819,0.0,0.0,2,3,0.09815505380592277,102,Tahoe Old Forest,61825-Volcanic-102,"Aschoff cobbly loam, 30 to 60 percent slopes (SPM)","Aschoff cobbly loam, 30 to 60 percent slopes (SPM)",16.36922494766725,0.0,16.36922494766725
