ProjectName,Watershed,Scenario,Climate,ClimStation,WeppID,WeppChnID,TopazID,Length (m),Channel Area (ha),Contributing Channel Area (ha),Discharge (mm),Sediment Yield (tonne),Channel Erosion (tonne),Width,Order,Slope,Landuse,LanduseDesc,Soil,SoilDesc,ChannelType,Solub. React. P (kg/ha),Particulate P (kg/ha),Total P (kg/ha)
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,1,185,824,282.4264069,0.847279221,12.72,2253.464623,0,0.0014,1,1,0.069390143,102,Tahoe Old Forest,61857-Volcanic-102,"Zygore gravelly loam, 5 to 30 percent slopes (SPM)",Default,1.652347852,0,1.652347852
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,2,186,814,192.4264069,0.577279221,10.64,2256.787594,0,0.0001,1,1,0.081257924,102,Tahoe Old Forest,61857-Volcanic-102,"Zygore gravelly loam, 5 to 30 percent slopes (SPM)",Default,1.73226398,0,1.73226398
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,3,187,804,404.5584412,1.213675324,32.89,2270.939495,0,0,1,1,0.020588107,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,2.389436403,0,2.389436403
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,4,188,794,349.7056275,1.049116882,32.34,2435.025665,1.2,1.2201,1,1,0.155117007,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,2.954866185,1.143819168,4.098685353
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,5,189,784,344.5584412,1.033675324,18.84,2440.914544,1,0.8897,1,1,0.146031082,102,Tahoe Old Forest,61859-Volcanic-102,"Zygore-Rock outcrop complex, 60 to 90 percent slopes (SPM)",Default,1.547874815,0.967421759,2.515296574
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,6,190,774,259.7056275,0.779116882,13.35,2404.660674,0.6,0.5802,1,1,0.165586403,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,1.540205362,0.770102681,2.181957596
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,7,191,764,30,0.09,32.19,2426.089158,1.9,0.3471,1,1,0.18,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,31.11111111,21.11111111,52.22222222
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,8,192,754,157.2792206,0.471837662,69.07,2427.922108,4.1,1.0057,2,2,0.089508493,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,13.35204989,8.689429292,22.04147918
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,9,193,744,434.5584412,1.303675324,16.87,2457.258447,1.8,1.8233,1,1,0.306170005,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,1.45741809,1.380711875,2.838129964
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,10,194,734,1693.675324,5.081025971,198.96,2364.070969,16,10.0199,2,2,0.058175372,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,3.601634808,3.148970324,6.730924068
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,11,195,724,199.7056275,0.599116882,19.28,2450.588693,0,0.0001,1,1,0.064983493,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,3.83898379,0,3.83898379
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,12,196,714,943.6753237,2.831025971,77.04,2415.541537,4.5,4.1722,1,1,0.090518318,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,2.331310298,1.589529749,3.920840047
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,13,197,704,174.8528137,0.524558441,17.48,2376.754005,0,0.0114,1,1,0.091590953,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,3.240820977,0,3.240820977
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,14,198,694,476.9848481,1.430954544,131.11,2413.707345,12.9,8.4633,1,1,0.093008998,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,8.595660882,9.014961413,17.61062229
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,15,199,684,434.5584412,1.303675324,12.55,2456.705976,0.3,0.2563,1,1,0.191356265,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,1.150593229,0.230118646,1.380711875
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,16,200,674,307.2792206,0.921837662,159.29,2411.199322,16.4,3.2282,2,2,0.067660923,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,16.48880343,17.79055107,34.2793545
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,17,201,664,217.2792206,0.651837662,188.34,2409.990443,17,0.5917,2,2,0.04118777,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,28.07447478,26.08011319,54.15458797
portland_BlazedAlder_CurCond.202203.cl532.chn_cs50,BlazedAlder,CurCond,CLIGEN,BonnevilleDam,18,202,654,132.4264069,0.397279221,10.54,2365.407021,0,0.0406,1,1,0.137380678,102,Tahoe Old Forest,61787-Volcanic-102,"Lastance stony fine sandy loam, 5 to 30 percent slopes (SPM)",Default,2.51712133,0,2.768833463
