ProjectName,Scenario,Watershed,WeppID,TopazID,Landuse,Soil,Length (m),Hillslope Area (ha),Runoff (mm),Soil Loss (kg/ha),Sediment Deposition (kg/ha),Sediment Yield (kg/ha),Width (m),Slope,LanduseDesc,SoilDesc,"Solub. React. P (kg/ha,3)","Particulate P (kg/ha,3)","Total P (kg/ha,3)",Particle Class 1 Fraction,Particle Class 2 Fraction,Particle Class 3 Fraction,Particle Class 4 Fraction,Particle Class 5 Fraction,Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (kg/ha)
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,1,22,102,61824-Volcanic-102-h_low,261.8033365833915,16.74,13.14516129032258,0.0,0.0,0.0,639.4112549695428,0.14188114319869216,Tahoe Old Forest,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",0.06929510155316607,0.0,0.06929510155316607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,2,23,102,61825-Volcanic-102-h_low,59.116882454314215,3.78,1.4947089947089947,0.0,0.0,0.0,639.4112549695428,0.2116247357458987,Tahoe Old Forest,"Aschoff cobbly loam, 30 to 60 percent slopes (SPM)",0.0687830687830688,0.0,0.0687830687830688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,3,32,102,61824-Volcanic-102-h_low,143.400188561231,4.05,9.14320987654321,0.0,0.0,0.0,282.42640687119285,0.17600656368052087,Tahoe Old Forest,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",0.07160493827160494,0.0,0.07160493827160494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,4,33,102,61824-Volcanic-102-h_low,216.69361827030463,6.12,13.398529411764706,0.0,0.0,0.0,282.42640687119285,0.16564773826527074,Tahoe Old Forest,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",0.0718954248366013,0.0,0.0718954248366013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,5,41,102,61824-Volcanic-102-h_high,664.5545796737766,12.96,129.66550925925927,0.25771604938271603,0.0,0.25771604938271603,195.017841971113,0.2730497723301299,Tahoe Old Forest,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",0.06018518518518518,0.0,0.06018518518518518,0.031,0.269,0.211,0.274,0.215,0.3633,0.09362824074074073
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,6,43,102,61824-Volcanic-102-h_low,31.819805153394636,0.54,0.7148148148148148,0.0,0.0,0.0,169.7056274847714,0.188666,Tahoe Old Forest,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",0.07407407407407407,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,7,52,102,61824-Volcanic-102-h_Rhododendron_Formation,105.72448953562343,1.98,3.8328282828282827,0.0,0.0,0.0,187.27922061357856,0.24558152067904446,Tahoe Old Forest,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",0.05555555555555556,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,8,53,102,61825-Volcanic-102-h_moderate,43.2509275373005,0.81,1.4592592592592593,0.0,0.0,0.0,187.27922061357856,0.18671849503948418,Tahoe Old Forest,"Aschoff cobbly loam, 30 to 60 percent slopes (SPM)",0.06172839506172839,0.0,0.06172839506172839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,9,61,102,61857-Volcanic-102-h_low,387.7383592017738,11.25,34.79955555555556,0.0,0.0,0.0,290.1441070509522,0.2134197958505894,Tahoe Old Forest,"Zygore gravelly loam, 5 to 30 percent slopes (SPM)",0.09422222222222222,0.0,0.09422222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
portland_DeerCreek_CurCond.202010.cl532.chn_cs140,cs140,portland_DeerCreek_CurCond.202010.cl532.chn,10,62,102,61824-Volcanic-102-h_Rhododendron_Formation,79.95598086415656,7.47,0.8285140562248996,0.0,0.0,0.0,934.2640687119285,0.2799075202403763,Tahoe Old Forest,"Aschoff cobbly loam, 5 to 30 percent slopes (SPM)",0.05890227576974565,0.0,0.05890227576974565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
